Name,Award,Gender,award year,award age,Birth Country,Birth Continent,award country,award continent
Tsung-Dao (T.D.) Lee,Physics,M,1957,32,China,Asia,USA,North America
Georges Pire,Peace,M,1958,49,Belgium,Europe,Belgium,Europe
Boris Leonidovich Pasternak,Literature,M,1958,69,Russia,Europe,Russia,Europe
Joshua Lederberg,Physiology or Medicine,M,1958,34,USA,North America,USA,North America
George Wells Beadle,Physiology or Medicine,M,1958,56,USA,North America,USA,North America
Edward Lawrie Tatum,Physiology or Medicine,M,1958,50,USA,North America,USA,North America
Frederick Sanger,Chemistry,M,1958,41,United Kingdom,Europe,United Kingdom,Europe
Pavel Alekseyevich Cherenkov,Physics,M,1958,55,Russia,Europe,Russia,Europe
Ilropebel Prize in Physi,Physics,M,1958,51,Russia,Europe,Russia,Europe
Igor Yevgenyevich Tamm,Physics,M,1958,64,Russia,Europe,Russia,Europe
Philip J. Noel-Baker,Peace,M,1959,71,United Kingdom,Europe,United Kingdom,Europe
Salvatore Quasimodo,Literature,M,1959,59,Italy,Europe,Italy,Europe
Severo Ochoa,Physiology or Medicine,M,1959,55,Spain,Europe,USA,North America
Arthur Kornberg,Physiology or Medicine,M,1959,42,USA,North America,USA,North America
Jaroslav Heyrovsky,Chemistry,M,1959,70,Czech,Europe,Czechoslovakia,Europe
Emilio Gino Segri,Physics,M,1959,55,Italy,Europe,USA,North America
Owen Chamberlain,Physics,M,1959,40,USA,North America,USA,North America
Albert John Lutuli,Peace,M,1960,64,Zimbabwe,Africa,South Africa,Africa
Saint-John Perse,Literature,M,1960,74,Guadeloupe Island,North America,France,Europe
Sir Frank Macfarlane Burnet,Physiology or Medicine,M,1960,62,Australia,Oceanian,Australia,Oceanian
Peter Brian Medawar,Physiology or Medicine,M,1960,46,Brazil,South America,United Kingdom,Europe
Willard Frank Libby,Chemistry,M,1960,53,USA,North America,USA,North America
Donald Arthur Glaser,Physics,M,1960,35,USA,North America,USA,North America
Dag Hjalmar Agne Carl Hammarskjr M,Peace,M,1961,57,Sweden,Europe,Sweden,Europe
Ivo Andric,Literature,M,1961,70,Bosnia,Europe,Yugoslavia,Europe
Georg von Brize ,Physiology or Medicine,M,1961,63,USA,North America,USA,North America
Melvin Calvin,Chemistry,M,1961,51,USA,North America,USA,North America
Rudolf Ludwig M in Chem,Physics,M,1961,33,Germany,Europe,USA,North America
Robert Hofstadter,Physics,M,1961,47,USA,North America,USA,North America
Linus Carl Pauling,Peace,M,1962,62,USA,North America,USA,North America
John Steinbeck,Literature,M,1962,61,USA,North America,USA,North America
Francis Harry Compton Crick,Physiology or Medicine,M,1962,47,United Kingdom,Europe,United Kingdom,Europe
James Dewey Watson,Physiology or Medicine,M,1962,35,USA,North America,USA,North America
Maurice Hugh Frederick Wilkins,Physiology or Medicine,M,1962,47,New Zealand,Oceanian,United Kingdom,Europe
