Name,Award,Gender,award year,award age,Birth Country,Birth Continent,award country,award continent
Peter W. Higgs,Physics,M,2013,85,United Kingdom,Europe,United Kingdom,Europe
Jean Tirole,Economic,M,2014,62,France,Europe,France,Europe
Kailash Satyarthi,Peace,M,2014,61,India,Asia,India,Asia
Malala Yousafzai,Peace,F,2014,18,Pakistan,Asia,United Kingdom,Europe
Patrick Modiano,Literature,M,2014,70,France,Europe,France,Europe
John Obel Pr,Physiology or Medicine,M,2014,76,USA,North America,United Kingdom,Europe
May-Britt Moser,Physiology or Medicine,F,2014,52,Norway,Europe,Norway,Europe
Edvard I. Moser,Physiology or Medicine,M,2014,53,Norway,Europe,Norway,Europe
Eric Betzig,Chemistry,M,2014,55,USA,North America,USA,North America
Stefan W. Hell,Chemistry,M,2014,53,Romania,Europe,Germany,Europe
William E. Moerner,Chemistry,M,2014,62,USA,North America,USA,North America
Isamu Akasaki,Physics,M,2014,86,Japan,Asia,Japan,Asia
Hiroshi Amano,Physics,M,2014,55,Japan,Asia,Japan,Asia
Shuji Nakamura,Physics,M,2014,61,Japan,Asia,USA,North America
Angus Deaton,Economic,M,2015,71,Scotland,Europe,USA,North America
National Dialogue Quartet,Peace,Org,2015,,,,,
Svetlana Alexievich,Literature,F,2015,68,Ukraine,Europe,Belarus,Europe
Tu Youyou,Physiology or Medicine,F,2015,86,China,Asia,China,Asia
William C. Campbell,Physiology or Medicine,M,2015,86,Ireland,Europe,USA,North America
Satoshi erica,Physiology or Medicine,M,2015,81,Japan,Asia,Japan,Asia
Tomas Lindahl,Chemistry,M,2015,78,Sweden,Europe,United Kingdom,Europe
Paul Modrich,Chemistry,M,2015,70,USA,North America,USA,North America
Aziz Sancar,Chemistry,M,2015,70,Turkey,Europe,USA,North America
Takaaki Kajita,Physics,M,2015,57,Japan,Asia,Japan,Asia
Arthur B. McDonald,Physics,M,2015,73,Canada,North America,Canada,North America
Oliver Hart,Economic,M,2016,69,United Kingdom,Europe,USA,North America
Bengt Holmstrmi,Economic,M,2016,68,Finland,Europe,USA,North America
Juan Manuel Santos,Peace,M,2016,66,Colombia,South America,Colombia,South America
Bob Dylan,Literature,M,2016,76,USA,North America,USA,North America
Yoshinori Ohsumi,Physiology or Medicine,M,2016,72,Japan,Asia,Japan,Asia
Jean-Pierre Sauvage,Chemistry,M,2016,73,France,Europe,France,Europe
Sir J. Fraser Stoddart,Chemistry,M,2016,75,United Kingdom,Europe,USA,North America
Bernard L. Feringa,Chemistry,M,2016,66,Netherlands,Europe,Netherlands,Europe
David J. Thouless,Physics,M,2016,83,United Kingdom,Europe,United Kingdom,Europe
F. Duncan M. Haldane,Physics,M,2016,66,United Kingdom,Europe,USA,North America
J. Michael Kosterlitz,Physics,M,2016,74,United Kingdom,Europe,USA,North America
Richard H. Thaler,Economic,M,2017,73,USA,North America,USA,North America
International Campaign to Abolish Nuclear Weapons,Peace,Org,2017,11,Australia,Oceanian,,
Kazuo Ishiguro,Literature,M,2017,64,Japan,Asia,Japan,Asia
Jeffrey C. Hall,Physiology or Medicine,M,2017,73,USA,North America,USA,North America
Michael Rosbash,Physiology or Medicine,M,2017,74,USA,North America,USA,North America
Michael W. Young,Physiology or Medicine,M,2017,69,USA,North America,USA,North America
Jacques Dubochet,Chemistry,M,2017,76,Switzerland,Europe,Switzerland,Europe
Joachim Frank,Chemistry,M,2017,78,Germany,Europe,USA,North America
Richard Henderson,Chemistry,M,2017,73,Scotland,Europe,United Kingdom,Europe
Rainer Weiss,Physics,M,2017,86,Germany,Europe,USA,North America
Barry C. Barish,Physics,M,2017,82,USA,North America,USA,North America
Kip S. Thorne,Physics,M,2017,78,USA,North America,USA,North America
William D. Nordhaus,Economic,M,2018,78,USA,North America,USA,North America
Paul M. Romer,Economic,M,2018,64,USA,North America,USA,North America
Denis Mukwege,Peace,M,2018,64,Congo,Africa,Congo,Africa
Nadia Murad,Peace,F,2018,26,Iraq,Asia,Iraq,Asia
Olga Tokarczuk,Literature,F,2018,57,Poland,Europe,Poland,Europe
James P. Allison,Physiology or Medicine,M,2018,71,USA,North America,USA,North America
Tasuku Honjo,Physiology or Medicine,M,2018,77,Japan,Asia,Japan,Asia
Frances H. Arnold,Chemistry,F,2018,63,USA,North America,USA,North America
George P. Smith,Chemistry,M,2018,78,USA,North America,USA,North America
Sir Gregory P. Winter,Chemistry,M,2018,68,United Kingdom,Europe,United Kingdom,Europe
Gurope Kingdo,Physics,M,2018,75,France,Europe,France,Europe
Donna Strickland,Physics,F,2018,60,Canada,North America,Canada,North America
Arthur Ashkin,Physics,M,2018,97,USA,North America,USA,North America
Abhijit Banerjee,Economic,M,2019,59,India,Asia,USA,North America
Esther Duflo,Economic,F,2019,48,France,Europe,USA,North America
Michael Kremer,Economic,M,2019,56,USA,North America,USA,North America
Abiy Ahmed Ali,Peace,M,2019,44,Ethiopian,Africa,Ethiopian,Africa
Peter Handke,Literature,M,2019,78,Austria,Europe,France,Europe
William G. Kaelin Jr,Physiology or Medicine,M,2019,63,USA,North America,USA,North America
Sir Peter J. Ratcliffe,Physiology or Medicine,M,2019,66,United Kingdom,Europe,United Kingdom,Europe
Gregg L. Semenza,Physiology or Medicine,M,2019,64,USA,North America,USA,North America
John B. Goodenough,Chemistry,M,2019,98,Germany,Europe,USA,North America
M. Stanley Whittingham,Chemistry,M,2019,79,United Kingdom,Europe,USA,North America
Akira Yoshino,Chemistry,M,2019,72,Japan,Asia,Japan,Asia
Michel Mayor,Physics,M,2019,78,Switzerland,Europe,Switzerland,Europe
Didier Queloz,Physics,M,2019,54,Switzerland,Europe,Switzerland,Europe
James Peebles,Physics,M,2019,85,Canada,North America,USA,North America
Paul R. Milgrom,Economic,M,2020,73,USA,North America,USA,North America
Robert B. Wilson,Economic,M,2020,84,USA,North America,USA,North America
World Food Programme,Peace,Org,2020,,,,,
Louise Gl Pe,Literature,F,2020,78,USA,North America,USA,North America
Harvey J. Alter,Physiology or Medicine,M,2020,86,USA,North America,USA,North America
Michael Houghton,Physiology or Medicine,M,2020,72,United Kingdom,Europe,Canada,North America
Charles M. Rice,Physiology or Medicine,M,2020,69,USA,North America,USA,North America
Emmanuelle Charpentier,Chemistry,F,2020,53,France,Europe,Germany,Europe
Jennifer A. Doudna,Chemistry,F,2020,57,USA,North America,USA,North America
Reinhard Genzel,Physics,M,2020,69,Germany,Europe,Germany,Europe
Andrea Ghez,Physics,F,2020,56,USA,North America,USA,North America
Roger Penrose,Physics,M,2020,90,United Kingdom,North America,United Kingdom,North America
